Название;Описание;Рэйтинг по <<KinoAfisha>>;Год и страна;Жанр;Продюсер
Турист;https://www.kinoafisha.info/movies/7907180/;7.8;2010, США;драма, триллер;ФлорианХенкельфонДоннерсмарк
Турист;https://www.kinoafisha.info/movies/7907180/;7.8;2010, США;драма, триллер;ФлорианХенкельфонДоннерсмарк
Красная шапочка;https://www.kinoafisha.info/movies/8089143/;7.8;2011, США;драма, триллер;КэтринХардвик
Другие;https://www.kinoafisha.info/movies/3625676/;7.8;2001, Испания / Франция / США;ужасы, фантастика;АлехандроАменабар
Хранители снов;https://www.kinoafisha.info/movies/8124681/;7.8;2012, США;семейный, анимация;ПитерРэмси
Бойфренд из будущего;https://www.kinoafisha.info/movies/8144311/;7.8;2013, Великобритания;фантастика, комедия;РичардКертис
Любовь в большом городе 2;https://www.kinoafisha.info/movies/7805012/;7.8;2010, Россия;комедия;МарюсВайсберг
Больше чем секс;https://www.kinoafisha.info/movies/8104603/;7.8;2011, США;мелодрама, комедия;АйвэнРайтман
Бладшот;https://www.kinoafisha.info/movies/8354985/;7.8;2020, США;боевик, фантастика;ДэйвУилсон
Конг: Остров черепа;https://www.kinoafisha.info/movies/8171583/;7.8;2017, США;приключения, боевик;ДжорданВот-Робертс
Великий уравнитель 2;https://www.kinoafisha.info/movies/8178515/;7.8;2018, США;боевик, криминал;АнтуанФукуа
Спирит: Душа прерий;https://www.kinoafisha.info/movies/8107409/;7.8;2002, США;вестерн, анимация;КеллиЭсбери,ЛорнаКук
Сумерки. Сага. Затмение;https://www.kinoafisha.info/movies/7796610/;7.8;2010, США;мелодрама, фэнтези;ДэвидСлэйд
Другой мир;https://www.kinoafisha.info/movies/5419/;7.8;2003, США / Германия / Венгрия / Великобритания;сказка, боевик;ЛенУайзман
Аритмия;https://www.kinoafisha.info/movies/8327377/;7.8;2017, Россия;драма, мелодрама;БорисХлебников
Оно;https://www.kinoafisha.info/movies/8326742/;7.8;2017, США;ужасы, триллер;АндресМускетти
В погоне за счастьем;https://www.kinoafisha.info/movies/1146310/;7.8;2006, США;комедия, драма;ГабриэлеМуччино
Тор 2: Царство тьмы;https://www.kinoafisha.info/movies/8131764/;7.8;2013, США;приключения, боевик;АланТейлор
28 недель спустя;https://www.kinoafisha.info/movies/1300828/;7.8;2007, Великобритания;фантастика, триллер;ХуанКарлосФреснадильо
А зори здесь тихие...;https://www.kinoafisha.info/movies/8168461/;7.8;2015, Россия;военный, драма;РенатДавлетьяров
М+Ж;https://www.kinoafisha.info/movies/7688431/;7.8;2009, Россия;комедия, мелодрама;ИгорьАндрейчук
"007: Координаты ""Скайфолл""";https://www.kinoafisha.info/movies/8114303/;7.8;2012, США / Великобритания;приключения, боевик;СэмМендес
Простая просьба;https://www.kinoafisha.info/movies/8354314/;7.8;2018, США;триллер, криминал;ПолФиг
Схватка;https://www.kinoafisha.info/movies/3949589/;7.8;1995, США;драма, криминал;МайклМанн
Ветер крепчает;https://www.kinoafisha.info/movies/8162426/;7.8;2013, Япония;драма, анимация;ХаяоМиядзаки
Банды Нью-Йорка;https://www.kinoafisha.info/movies/5292/;7.8;2002, США / Германия / Италия / Великобритания / Нидерланды;драма, исторический;МартинСкорсезе
Джон Уик;https://www.kinoafisha.info/movies/8159364/;7.8;2014, США;боевик, триллер;ДэвидЛитч,ЧадСтахелски
Артист;https://www.kinoafisha.info/movies/8119157/;7.8;2011, Франция;мелодрама;МишельАзанависьюс
Домовой;https://www.kinoafisha.info/movies/8330126/;7.8;2019, Россия;комедия, фэнтези;ЕвгенийБедарев
Полночь в Париже;https://www.kinoafisha.info/movies/8088945/;7.8;2011, США;комедия, мелодрама;ВудиАллен
Дамбо;https://www.kinoafisha.info/movies/8330492/;7.8;2019, США;семейный, фэнтези;ТимБертон
Охотники за привидениями;https://www.kinoafisha.info/movies/3729109/;7.8;1984, США;комедия, фантастика;АйвэнРайтман
Из Парижа с любовью;https://www.kinoafisha.info/movies/7606056/;7.8;2009, Франция;боевик;ПьерМорель
Мачете;https://www.kinoafisha.info/movies/7795700/;7.8;2010, США;боевик, криминал;РобертРодригес,ИтанМаникис
Дориан Грей;https://www.kinoafisha.info/movies/6807556/;7.8;2009, Великобритания;драма;ОливерПаркер
Океаны;https://www.kinoafisha.info/movies/7597806/;7.8;2009, Франция / Швейцария / Испания / Монако;драма, документальный;ЖакПеррен,ЖакКлюзо
Охота на пиранью;https://www.kinoafisha.info/movies/633734/;7.8;2006, Россия;триллер, криминал;АндрейКавун
Воровка книг;https://www.kinoafisha.info/movies/8151358/;7.8;2014, США;драма;БрайанПерсивал
Дракула;https://www.kinoafisha.info/movies/5413129/;7.8;1992, США;ужасы, мелодрама;ФрэнсисФордКоппола
Высоцкий. Спасибо, что живой;https://www.kinoafisha.info/movies/8096007/;7.8;2011, Россия;биография, драма;ПетрБуслов
Хочу как ты;https://www.kinoafisha.info/movies/8085432/;7.8;2011, США;комедия;ДэвидДобкин
Семейка Аддамс;https://www.kinoafisha.info/movies/8354869/;7.8;2019, США;анимация, фэнтези;ГрегТирнан,КонрадВернон
Мгла;https://www.kinoafisha.info/movies/2070260/;7.8;2007, США;ужасы;ФрэнкДарабонт
Секс по дружбе;https://www.kinoafisha.info/movies/8095365/;7.8;2011, США;комедия;УиллГлак
Чтец;https://www.kinoafisha.info/movies/6143568/;7.8;2008, США / Германия;мелодрама, исторический;СтивенДолдри
Отель «Белград»;https://www.kinoafisha.info/movies/8356738/;7.8;2020, Россия;комедия, романтическая комедия;КонстантинСтатский
Падение Лондона;https://www.kinoafisha.info/movies/8171232/;7.8;2015, США / Великобритания;криминал, боевик;БабакНаджафи
Убить Билла 2;https://www.kinoafisha.info/movies/5603/;7.8;2004, США;боевик, драма;КвентинТарантино
Кто я;https://www.kinoafisha.info/movies/8175519/;7.8;2014, Германия;триллер;БаранбоОдар
Сладкий ноябрь;https://www.kinoafisha.info/movies/3341289/;7.8;2001, США;комедия, драма;ПэтО'Коннор
Поддубный;https://www.kinoafisha.info/movies/8142305/;7.8;2013, Россия;драма, исторический;ГлебОрлов
Тачки 3;https://www.kinoafisha.info/movies/8320109/;7.8;2017, США;детский, анимация;БрайанФи
Хорошая девочка;https://www.kinoafisha.info/movies/3956174/;7.8;2002, США / Германия / Нидерланды;драма, комедия;МигельАртета
Всё путём;https://www.kinoafisha.info/movies/7809736/;7.8;2009, США / Италия;приключения, драма;КиркДжонс
Я, робот;https://www.kinoafisha.info/movies/5633/;7.8;2004, США;фантастика, приключения;АлексПройас
Неудержимые 2;https://www.kinoafisha.info/movies/8119166/;7.8;2012, США;приключения, триллер;СаймонУэст
Классный мюзикл: Выпускной;https://www.kinoafisha.info/movies/5618252/;7.8;2008, США;мелодрама, комедия;КенниОртега
Судья;https://www.kinoafisha.info/movies/8163949/;7.8;2014, США;драма;ДэвидДобкин
Дурак;https://www.kinoafisha.info/movies/8165353/;7.8;2014, Россия;драма;ЮрийБыков
Пол: Секретный материальчик;https://www.kinoafisha.info/movies/8094673/;7.8;2011, Франция / Великобритания / США / Испания;фантастика, комедия;ГрегМоттола
Крупная рыба;https://www.kinoafisha.info/movies/5515/;7.8;2003, США;приключения, сказка;ТимБертон
Марсианин;https://www.kinoafisha.info/movies/8167674/;7.8;2015, США;фантастика, приключения;РидлиСкотт
Монте-Карло;https://www.kinoafisha.info/movies/8087925/;7.8;2011, США;комедия;ТомасБезуча
Американский пирог: Все в сборе;https://www.kinoafisha.info/movies/8120668/;7.8;2012, США;комедия;ДжонХарвитц,ХейденШлоссберг
Идеальные незнакомцы;https://www.kinoafisha.info/movies/8328292/;7.8;2016, Италия;драма, комедия;ПаолоДженовезе
Люди Икс. Последняя битва;https://www.kinoafisha.info/movies/656550/;7.8;2006, США;фантастика, триллер;БреттРэтнер
9;https://www.kinoafisha.info/movies/7606750/;7.8;2009, США;анимация, военный;ШэйнЭккер
Тренер;https://www.kinoafisha.info/movies/8326912/;7.8;2018, Россия;спорт, драма;ДанилаКозловский
8 подруг Оушена;https://www.kinoafisha.info/movies/8327445/;7.8;2017, США;криминал, комедия;ГэриРосс
Сплит;https://www.kinoafisha.info/movies/8320840/;7.8;2016, США;триллер;М.НайтШьямалан
Призрак оперы;https://www.kinoafisha.info/movies/121017/;7.8;2004, США / Великобритания;драма, триллер;ДжоэлШумахер
Омерзительная восьмерка;https://www.kinoafisha.info/movies/8167215/;7.8;2015, США;комедия, вестерн;КвентинТарантино
Астерикс: Земля Богов;https://www.kinoafisha.info/movies/8165172/;7.8;2014, Франция;анимация, приключения;АлександрАстье,ЛуисКлиши
Эдвард руки-ножницы;https://www.kinoafisha.info/movies/3338974/;7.8;1990, США;сказка, драма;ТимБертон
Монстры на каникулах;https://www.kinoafisha.info/movies/7789890/;7.8;2012, США;комедия, анимация;ГенндийТартаковский
Навсикая из долины Ветров;https://www.kinoafisha.info/movies/1814170/;7.8;1984, Япония;фантастика, приключения;ХаяоМиядзаки
Классный мюзикл;https://www.kinoafisha.info/movies/5715680/;7.8;2006, США;мелодрама, комедия;КенниОртега
Два дня;https://www.kinoafisha.info/movies/8107760/;7.8;2011, Россия;мелодрама;АвдотьяСмирнова
Гномео и Джульетта;https://www.kinoafisha.info/movies/8111153/;7.8;2011, США / Великобритания;фэнтези, анимация;КеллиЭсбери
Бесконечная история;https://www.kinoafisha.info/movies/5641021/;7.7;1984, ФРГ / США;сказка, приключения;ВольфгангПетерсен
Чужой 4: Воскрешение;https://www.kinoafisha.info/movies/5811126/;7.7;1997, США;триллер, боевик;Жан-ПьерЖене
Kingsman: Секретная служба;https://www.kinoafisha.info/movies/8156005/;7.7;2014, Великобритания;триллер;МэттьюВон
Шаг вперед;https://www.kinoafisha.info/movies/1041313/;7.7;2006, США;мелодрама, музыкальный;ЭннФлетчер
Шоу Трумана;https://www.kinoafisha.info/movies/4977090/;7.7;1998, США;драма, фантастика;ПитерУир
Дом;https://www.kinoafisha.info/movies/8157738/;7.7;2015, США;анимация, фэнтези;ТимДжонсон
Голодные игры: И вспыхнет пламя;https://www.kinoafisha.info/movies/8134705/;7.7;2013, США;боевик, фантастика;ФренсисЛоуренс
Дом восковых фигур;https://www.kinoafisha.info/movies/336039/;7.7;2005, Австралия / США;ужасы, триллер;ХаумеКольет-Серра
Маяк;https://www.kinoafisha.info/movies/8355383/;7.7;2019, США;ужасы, фэнтези;РобертЭггерс
Полет навигатора;https://www.kinoafisha.info/movies/921277/;7.7;1986, США;детский, приключения;РэндэлКлайзер
Как приручить дракона 2;https://www.kinoafisha.info/movies/8150290/;7.7;2014, США;комедия, фэнтези;ДинДеблуа
Книжный клуб;https://www.kinoafisha.info/movies/8354260/;7.7;2018, США;комедия;БиллХолдермэн
Гарри Поттер и Принц-Полукровка;https://www.kinoafisha.info/movies/4108467/;7.7;2008, Великобритания / США;фэнтези, семейный;ДэвидЙейтс
Последняя песня;https://www.kinoafisha.info/movies/7822874/;7.7;2010, США;драма;ДжулиЭннРобинсон
Эверест;https://www.kinoafisha.info/movies/8163584/;7.7;2015, США / Великобритания;драма, приключения;БальтасарКормакур
127 часов;https://www.kinoafisha.info/movies/8096889/;7.7;2010, США / Великобритания;драма;ДэнниБойл
Удивительное путешествие Доктора Дулиттла;https://www.kinoafisha.info/movies/8329511/;7.7;2020, США;комедия;СтивенГейган
Гадкий я 2;https://www.kinoafisha.info/movies/8120473/;7.7;2013, США;анимация, семейный;ПьерКоффин,КрисРено
Транс;https://www.kinoafisha.info/movies/8145858/;7.7;2013, Великобритания;триллер, криминал;ДэнниБойл
Человек-паук: Возвращение домой;https://www.kinoafisha.info/movies/8178242/;7.7;2017, США;боевик, фантастика;ДжонУоттс
Шазам!;https://www.kinoafisha.info/movies/8176029/;7.7;2019, США;фантастика, фэнтези;ДэвидФ.Сандберг
Большое путешествие вглубь океанов 3D: Возвращение;https://www.kinoafisha.info/movies/7945897/;7.7;2009, Германия / Великобритания / Австрия;документальный;НикСтрингер
Легенда острова Двид;https://www.kinoafisha.info/movies/8011933/;7.7;2010, Россия;приключения, семейный;АнариоМамедов
Грех;https://www.kinoafisha.info/movies/8330122/;7.7;2018, Россия / Италия;драма, биография;АндрейКончаловский
Скорость;https://www.kinoafisha.info/movies/5642643/;7.7;1994, США;триллер, криминал;ЯнДеБонт
Иллюзионист;https://www.kinoafisha.info/movies/7235864/;7.7;2009, Великобритания / Франция;анимация;СильвенШомэ
Монах и бес;https://www.kinoafisha.info/movies/8322879/;7.7;2016, Россия;фантастика, комедия;НиколайДосталь
Пункт назначения;https://www.kinoafisha.info/movies/3712222/;7.7;2000, США;фантастика, ужасы;ДжеймсВонг
Синистер;https://www.kinoafisha.info/movies/8128376/;7.7;2012, США;криминал, ужасы;СкоттДерриксон
Бесславные ублюдки;https://www.kinoafisha.info/movies/7605543/;7.7;2009, Германия / США;драма, военный;КвентинТарантино,ЭлайРот
Дюнкерк;https://www.kinoafisha.info/movies/8322822/;7.7;2017, США / Великобритания / Франция;драма, военный;КристоферНолан
Старикам тут не место;https://www.kinoafisha.info/movies/3312825/;7.7;2007, США;драма, триллер;ИтанКоэн,ДжоэлКоэн
Тайна 7 сестер;https://www.kinoafisha.info/movies/8328634/;7.7;2017, Великобритания;фантастика, триллер;ТоммиВиркола
Боец;https://www.kinoafisha.info/movies/3689686/;7.7;2010, США;драма;ДэвидО.Расселл
Харлей Дэвидсон и ковбой Мальборо;https://www.kinoafisha.info/movies/3586987/;7.7;1991, США;триллер, боевик;СаймонУинсер
LOL (ржунимагу);https://www.kinoafisha.info/movies/7620424/;7.7;2008, Франция;комедия;ЛизаАзуэлос
У холмов есть глаза 2;https://www.kinoafisha.info/movies/1153384/;7.7;2007, США;ужасы;МартинВайс
Винчестер. Дом, который построили призраки;https://www.kinoafisha.info/movies/8329418/;7.7;2018, США;мистика, триллер;ПитерСпириг,МайклСпириг
Чудаки 3D;https://www.kinoafisha.info/movies/8095571/;7.7;2010, США;документальный, комедия;ДжеффТремэйн
Мост в Терабитию;https://www.kinoafisha.info/movies/1090242/;7.7;2007, США;фэнтези, семейный;ГаборЧупо
Шаг вперед 3;https://www.kinoafisha.info/movies/8094830/;7.7;2010, США;музыкальный, драма;ДжонЧу
Шпионский мост;https://www.kinoafisha.info/movies/8174703/;7.7;2015, США;драма, триллер;СтивенСпилберг
Зверопой;https://www.kinoafisha.info/movies/8320679/;7.7;2016, США;музыкальный, анимация;ГартДженнингс
Ночные игры;https://www.kinoafisha.info/movies/8329320/;7.7;2018, США;комедия, детектив;ДжонФрэнсисДейли,ДжонатанМ.Голдштейн
Дом у озера;https://www.kinoafisha.info/movies/829043/;7.7;2006, США;мелодрама, драма;АлехандроАгрести
Стиляги;https://www.kinoafisha.info/movies/3609487/;7.7;2008, Россия;комедия, музыкальный;ВалерийТодоровский
Чудо-женщина;https://www.kinoafisha.info/movies/8170893/;7.7;2017, США;боевик, приключения;ПэттиДженкинс
Фантастические твари: Преступления Грин-де-Вальда;https://www.kinoafisha.info/movies/8171723/;7.7;2018, США;фэнтези;ДэвидЙейтс
Красота по-американски;https://www.kinoafisha.info/movies/904346/;7.7;1999, США;мелодрама;СэмМендес
Взрыв из прошлого;https://www.kinoafisha.info/movies/7673018/;7.7;1999, США;мелодрама, комедия;ХьюУилсон
Защитник;https://www.kinoafisha.info/movies/8114794/;7.7;2011, США;криминал;БоазЯкин
Помутнение;https://www.kinoafisha.info/movies/5436205/;7.7;2006, США;триллер, драма;РичардЛинклэйтер
Камера 211: Зона;https://www.kinoafisha.info/movies/7933185/;7.7;2009, Франция / Испания;боевик, драма;ДаньельМонсон
Воин;https://www.kinoafisha.info/movies/8000443/;7.7;2011, США;драма, боевик;ГэвинО'Коннор
