Название;Описание;Рэйтинг по <<KinoAfisha>>;Год и страна;Жанр;Продюсер
Т-34;https://www.kinoafisha.info/movies/8324941/;8.4;2018, Россия;военный, боевик;АлексейСидоров
Остров проклятых;https://www.kinoafisha.info/movies/5280353/;8.4;2009, США;драма, мистика;МартинСкорсезе
Кунг-Фу Панда;https://www.kinoafisha.info/movies/2108341/;8.4;2008, США;комедия, анимация;МаркОсборн,ДжонСтивенсон
Зверополис;https://www.kinoafisha.info/movies/8170146/;8.4;2016, США;анимация, боевик;БайронХовард,РичМур
28 панфиловцев;https://www.kinoafisha.info/movies/8154984/;8.4;2016, Россия;военный, драма;КимДружинин,АндрейШальопа
Чужие;https://www.kinoafisha.info/movies/5411374/;8.4;1986, США / Великобритания;триллер, ужасы;ДжеймсКэмерон
Троя;https://www.kinoafisha.info/movies/5591/;8.3;2004, США / Мальта / Великобритания;исторический, приключения;ВольфгангПетерсен
Хэнкок;https://www.kinoafisha.info/movies/4172734/;8.3;2008, США;комедия, фантастика;ПитерБерг
Пираты Карибского моря: Сундук мертвеца;https://www.kinoafisha.info/movies/533610/;8.3;2006, США;боевик, сказка;ГорВербински
Гарри Поттер и Дары смерти. Часть первая;https://www.kinoafisha.info/movies/7667823/;8.3;2010, США / Великобритания;семейный, фэнтези;ДэвидЙейтс
Грань будущего;https://www.kinoafisha.info/movies/8134704/;8.3;2014, США;фантастика, боевик;ДагЛайман
Достучаться до небес;https://www.kinoafisha.info/movies/7275899/;8.3;1997, Германия / Нидерланды / Бельгия;боевик, драма;ТомасЯн
Волк и теленок;https://www.kinoafisha.info/movies/7667680/;8.3;1984, СССР;семейный, анимация;МихаилКаменецкий
Гарри Поттер и философский камень;https://www.kinoafisha.info/movies/5387519/;8.3;2001, Великобритания / США;приключения, семейный;КрисКоламбус
Майкл Джексон: Вот и все;https://www.kinoafisha.info/movies/7784959/;8.3;2009, США;документальный, музыкальный;КенниОртега
Шерлок Холмс: Игра теней;https://www.kinoafisha.info/movies/8094240/;8.3;2011, США;приключения, криминал;ГайРичи
Чужой;https://www.kinoafisha.info/movies/4722633/;8.3;1979, США / Великобритания;ужасы, фантастика;РидлиСкотт
Ледниковый период;https://www.kinoafisha.info/movies/4621953/;8.3;2002, США;комедия, приключения;КарлосСалдана,КрисУэдж
Доктор Стрэндж;https://www.kinoafisha.info/movies/8168491/;8.3;2016, США;фэнтези, приключения;СкоттДерриксон
Тор: Рагнарёк;https://www.kinoafisha.info/movies/8170452/;8.3;2017, США;фэнтези, драма;ТайкаВайтити
Звезда родилась;https://www.kinoafisha.info/movies/8328972/;8.3;2018, США;драма, мелодрама;БрэдлиКупер
Девчата;https://www.kinoafisha.info/movies/3623363/;8.3;1961, СССР;мелодрама, комедия;ЮрийЧулюкин
Час пик 2;https://www.kinoafisha.info/movies/6668095/;8.3;2001, США;триллер, комедия;БреттРэтнер
Хоббит: Нежданное путешествие;https://www.kinoafisha.info/movies/5567540/;8.3;2012, США;фэнтези, приключения;ПитерДжексон
Один день;https://www.kinoafisha.info/movies/8085369/;8.3;2011, Великобритания;комедия, мелодрама;ЛонеШерфиг
Аквамен;https://www.kinoafisha.info/movies/8171722/;8.3;2018, США;фантастика, приключения;ДжеймсВан
Эквилибриум;https://www.kinoafisha.info/movies/5213/;8.3;2002, США;фантастика, триллер;КуртУиммер
Молот;https://www.kinoafisha.info/movies/8326974/;8.3;2016, Россия;драма, спорт;НурбекЭген
Час пик;https://www.kinoafisha.info/movies/6660723/;8.3;1998, США;триллер, боевик;БреттРэтнер
Тайна третьей планеты;https://www.kinoafisha.info/movies/2086732/;8.3;1981, СССР;анимация, приключения;РоманКачанов
Принцесса Мононоке;https://www.kinoafisha.info/movies/4019055/;8.3;1997, Япония;боевик, сказка;ХаяоМиядзаки
РЭД;https://www.kinoafisha.info/movies/7908442/;8.3;2010, США;комедия, боевик;РобертШвентке
Притворись моей женой;https://www.kinoafisha.info/movies/8074807/;8.3;2011, США;мелодрама, комедия;ДеннисДуган
Знакомьтесь, Джо Блэк;https://www.kinoafisha.info/movies/3997319/;8.3;1998, США;мелодрама, мистика;МартинБрест
Трансформеры;https://www.kinoafisha.info/movies/1090233/;8.3;2007, США;боевик, приключения;МайклБэй
Корпорация Монстров;https://www.kinoafisha.info/movies/75889/;8.3;2001, США;семейный, сказка;ПитДоктер,ДэвидСилверман,ЛиАнкрич
"Всегда говори ""Да""";https://www.kinoafisha.info/movies/4273910/;8.3;2008, США;комедия;ПейтонРид
Lil Peep: Всё для всех;https://www.kinoafisha.info/movies/8356213/;8.3;2019, США;документальный;СебастьянДжонс,РамезСилян
Доберман;https://www.kinoafisha.info/movies/5751934/;8.3;1997, Франция;боевик;ЖанКоунен
Люди в черном;https://www.kinoafisha.info/movies/5056604/;8.3;1997, США;боевик;БарриЗонненфельд
Телохранитель киллера;https://www.kinoafisha.info/movies/8326545/;8.3;2017, США;боевик, комедия;ПатрикХьюз
Ежик в тумане;https://www.kinoafisha.info/movies/7687159/;8.3;1975, СССР;детский;ЮрийНорштейн
Салют-7;https://www.kinoafisha.info/movies/8322262/;8.3;2017, Россия;драма, исторический;КлимШипенко
Убойные каникулы;https://www.kinoafisha.info/movies/8097103/;8.3;2009, Канада;комедия;ЭлайКрэйг
Стражи Галактики. Часть 2;https://www.kinoafisha.info/movies/8176258/;8.3;2017, США;боевик, фантастика;ДжеймсГанн
Семь;https://www.kinoafisha.info/movies/3977952/;8.3;1995, США;мистика, криминал;ДэвидФинчер
Шрэк;https://www.kinoafisha.info/movies/5625/;8.3;2001, США;анимация, семейный;ЭндрюАдамсон,ВиккиДженсон
Жизнь, как она есть;https://www.kinoafisha.info/movies/7918898/;8.3;2010, США;комедия;ГрегБерланти
Апокалипсис;https://www.kinoafisha.info/movies/1020519/;8.3;2006, США;боевик, приключения;МэлГибсон
Подарок на Рождество;https://www.kinoafisha.info/movies/4096866/;8.3;1996, США;комедия, боевик;БрайанЛивант
Ледниковый период 3: Эра динозавров;https://www.kinoafisha.info/movies/4996013/;8.3;2009, США;приключения, анимация;КарлосСалдана
О чем говорят мужчины;https://www.kinoafisha.info/movies/7795867/;8.3;2010, Россия;комедия;ДмитрийДьяченко
